# coverage of finite groups of order <= 60
# enumeration: GAP SmallGroups library (CITED, external)
# fixpoint rounds for R1: 2
# UNRESOLVED means: not covered by C1-C5/R1. NOT a height >= 2 claim.
order	id	structure	verdict	monolithic	phase	abelian_normal
53	1	C53	C1-abelian	true	53	1
54	1	D54	C3-AsemiE	true	2	C27
54	2	C54	C1-abelian	false	2	C27
54	3	C3 x D18	C3-AsemiE	false	2	C9 x C3
54	4	C9 x S3	C3-AsemiE	false	2	C9 x C3
54	5	(C3 x C3) : C6	UNRESOLVED	true	6	C3 x C3
54	6	C9 : C6	UNRESOLVED	true	6	C9
54	7	(C9 x C3) : C2	C3-AsemiE	false	2	C9 x C3
54	8	((C3 x C3) : C3) : C2	UNRESOLVED	true	0	-
54	9	C18 x C3	C1-abelian	false	2	C9 x C3
54	10	C2 x ((C3 x C3) : C3)	C2-nilpotent2	false	3	C6 x C3
54	11	C2 x (C9 : C3)	C2-nilpotent2	false	3	C18
54	12	C3 x C3 x S3	C3-AsemiE	false	2	C3 x C3 x C3
54	13	C3 x ((C3 x C3) : C2)	C3-AsemiE	false	2	C3 x C3 x C3
54	14	(C3 x C3 x C3) : C2	C3-AsemiE	false	2	C3 x C3 x C3
54	15	C6 x C3 x C3	C1-abelian	false	2	C3 x C3 x C3
55	1	C11 : C5	UNRESOLVED	true	5	C11
55	2	C55	C1-abelian	false	5	C11
56	1	C7 : C8	R1-subdirect	false	8	C7
56	2	C56	C1-abelian	false	7	C8
56	3	C7 : Q8	C4-dicyclic	false	0	-
56	4	C4 x D14	C3-AsemiE	false	2	C28
56	5	D56	C3-AsemiE	false	2	C28
56	6	C2 x (C7 : C4)	R1-subdirect	false	4	C14
56	7	(C14 x C2) : C2	C3-AsemiE	false	2	C14 x C2
56	8	C28 x C2	C1-abelian	false	2	C28
56	9	C7 x D8	C2-nilpotent2	false	2	C14 x C2
56	10	C7 x Q8	C2-nilpotent2	false	0	-
56	11	(C2 x C2 x C2) : C7	UNRESOLVED	true	7	C2 x C2 x C2
56	12	C2 x C2 x D14	C3-AsemiE	false	2	C14 x C2
56	13	C14 x C2 x C2	C1-abelian	false	2	C14 x C2
57	1	C19 : C3	UNRESOLVED	true	3	C19
